tempo_de_experiencia,numero_de_vendas,fator_sazonal,receita_em_reais
36,21,5,2639.8869407846896
74,44,10,4707.322226850152
38,44,4,5910.035130891204
52,62,6,6130.742546486002
97,56,2,7516.457680690254
67,70,10,1247.8823242655153
119,69,2,3485.606208414592
66,62,2,2773.9874271755166
68,96,3,4177.919578421624
106,42,2,4719.691069103556
111,74,10,2177.289101341636
66,31,5,2188.749975337247
50,97,6,7062.2440471207365
100,48,5,7131.2685089606075
14,98,1,4668.554160084868
40,67,8,2125.4674697474316
65,56,6,3812.822919658691
20,99,8,4337.665457219433
81,48,8,7390.827128376806
62,31,4,1895.8376150821523
109,65,9,1482.9304117393608
67,16,4,1270.295924761998
110,39,6,5705.3960045758395
20,96,1,1585.2772631140415
90,41,5,1339.1908257655639
59,31,2,4887.409765419483
14,31,10,1927.3345118536017
28,61,10,3113.1960497769874
101,80,3,6021.917271122068
65,10,5,1133.3639484162304
58,62,4,5736.923274299272
108,50,4,3651.484633704035
101,67,1,8509.913049820734
113,83,10,2809.551545820204
71,19,5,2499.5015157174403
93,40,2,4383.121975630405
21,67,9,9064.360864205122
21,45,9,5852.635129348482
83,80,10,6273.090904341367
38,25,8,4913.807663975583
61,92,8,3903.277881508922
63,70,5,8542.821821203757
48,11,6,1299.3855275371968
55,45,5,8032.444380256558
36,50,9,2055.3738792898366
52,69,5,8923.099152861341
100,72,10,3234.7670381590356
39,14,6,4550.3765536252695
91,78,1,7181.561604996615
117,51,7,8027.9443938403965
51,24,8,9941.01645770138
111,39,6,8806.123724354964
44,50,1,5662.439633622879
22,65,7,7810.719995037407
1,48,8,6590.49415044485
119,17,10,2485.777572974434
117,52,2,3039.444830226993
50,58,4,1672.6943012766103
45,19,4,8579.605719311243
10,33,10,8721.76026092302
92,100,5,4993.732403751687
4,53,9,7933.552308599764
44,10,5,8828.916899974094
28,73,6,8634.148650939009
43,58,7,2968.1501154925154
3,47,6,1186.0262118716846
33,85,6,5974.629915038165
99,67,4,4456.1297329028885
111,72,2,1509.4964165619504
93,80,10,7518.411313543216
8,38,9,4073.433854621196
97,57,10,5787.456281158846
95,38,3,6767.312866618758
102,78,4,8189.684157258878
30,13,5,5008.020573127556
54,31,8,8674.17512045671
49,46,10,5471.919477244347
65,98,5,6928.258518369209
34,50,7,7019.112575880262
64,30,4,6863.681475500717
57,47,9,4913.043252680818
73,68,2,1369.9262539894416
28,36,4,1432.241319496516
96,80,7,5417.770686768097
30,62,9,4716.43290220435
82,28,4,6952.43036771561
91,16,5,2273.677478656532
24,65,10,6794.669543826824
85,11,10,4634.646927942429
83,16,3,6147.041574464478
34,90,4,2217.7352311813784
84,91,2,6941.306909224847
75,49,8,1261.2404813829203
77,48,3,6710.593299877445
117,100,4,4137.35351108968
48,98,5,8966.193011262265
117,17,10,9261.52240049045
66,63,1,3317.0408850476206
46,61,4,9868.93051814805
54,99,7,7852.058083296299
